13-38-02-15-04-26,,,,,
Time,C,D,H,C/D,H/D
13-51-59-15-04-26,210,1099,737,19.10828025,67.06096451
13-52-27-15-04-26,205,1099,734,18.6533212,66.78798908
13-53-32-15-04-26,210,1098,737,19.12568306,67.12204007
13-53-57-15-04-26,208,1098,736,18.9435337,67.03096539
13-54-17-15-04-26,211,1098,739,19.21675774,67.30418944
13-54-45-15-04-26,209,1099,735,19.01728844,66.87898089
13-55-26-15-04-26,211,1098,736,19.21675774,67.03096539
13-55-45-15-04-26,212,1098,739,19.30783242,67.30418944
13-56-50-15-04-26,210,1098,735,19.12568306,66.93989071
13-57-11-15-04-26,214,1098,738,19.48998179,67.21311475
13-57-34-15-04-26,208,1099,736,18.92629663,66.9699727
13-58-02-15-04-26,212,1099,738,19.29026388,67.15195632
