14-06-17-02-04-26,,Pot B 2.80 Master,,May Bottom do,,,May Sarin do,,,
Time,C,D,H,C/D,H/D,,H/D,C/D avg,C/D min,C/D max
14-11-33-02-04-26,478,2775,1766,17.22522523,63.63963964,,63.8,17.9,17.55,18.45
14-12-57-02-04-26,479,2775,1770,17.26126126,63.78378378,,63.82,18.16,17.22,19.1
14-13-15-02-04-26,477,2776,1767,17.18299712,63.65273775,,63.78,17.95,17.15,19.1
14-13-46-02-04-26,482,2776,1769,17.36311239,63.72478386,,63.78,18.42,17.91,18.89
14-14-00-02-04-26,481,2776,1767,17.32708934,63.65273775,,63.78,18.2,17.44,18.92
14-14-14-02-04-26,481,2775,1770,17.33333333,63.78378378,,63.82,17.98,17.4,19.18
14-14-40-02-04-26,476,2775,1766,17.15315315,63.63963964,,63.78,18,17.44,19.21
14-15-05-02-04-26,480,2776,1769,17.29106628,63.72478386,,63.78,17.87,17.44,18.38
14-15-21-02-04-26,480,2776,1769,17.29106628,63.72478386,,63.78,18.3,17.44,19.1
14-15-35-02-04-26,477,2776,1769,17.18299712,63.72478386,,63.78,17.8,16.93,18.34
14-15-51-02-04-26,482,2776,1771,17.36311239,63.79682997,,,,,
14-16-08-02-04-26,475,2776,1769,17.11095101,63.72478386,,,,,
14-17-20-02-04-26,477,2775,1770,17.18918919,63.78378378,,,,,
14-17-34-02-04-26,476,2775,1769,17.15315315,63.74774775,,,,,
14-18-07-02-04-26,478,2774,1771,17.23143475,63.84282624,,,,,
14-18-23-02-04-26,476,2775,1771,17.15315315,63.81981982,,,,,
14-19-51-02-04-26,480,2775,1768,17.2972973,63.71171171,,,,,
14-20-24-02-04-26,475,2775,1766,17.11711712,63.63963964,,,,,
14-20-40-02-04-26,484,2775,1771,17.44144144,63.81981982,,,,,
14-20-57-02-04-26,473,2775,1767,17.04504505,63.67567568,,,,,
14-21-35-02-04-26,472,2775,1769,17.00900901,63.74774775,,,,,
14-21-59-02-04-26,478,2775,1765,17.22522523,63.6036036,,,,,
14-22-16-02-04-26,480,2775,1769,17.2972973,63.74774775,,,,,
14-23-40-02-04-26,469,2775,1766,16.9009009,63.63963964,,,,,
14-23-57-02-04-26,474,2775,1769,17.08108108,63.74774775,,,,,
